1,2025-01-15,45000,Engine making strange noise,2025-01-20,Replaced timing belt,85,VIN001,1,1
2,2025-02-01,32000,Brakes squeaking,2025-02-05,New brake pads installed,65,VIN002,2,2
3,2025-02-10,120000,Transmission slipping,2025-02-18,Rebuilt transmission,950,VIN003,3,3
4,2025-03-01,55000,Oil leak,2025-03-03,Replaced gasket,120,VIN004,4,4
5,2025-03-15,15000,Check engine light on,2025-03-17,Replaced O2 sensor,95,VIN005,5,5
6,2025-04-01,89000,AC not working,2025-04-05,Recharged AC system,75,VIN006,6,6
7,2025-04-10,42000,Flat tire,,,,VIN007,7,7
8,2025-05-01,67000,Battery dead,2025-05-02,Replaced battery,55,VIN008,8,8
9,2025-05-15,38000,Windshield crack,,,,VIN009,9,9
10,2025-06-01,23000,Alignment off,2025-06-02,Wheel alignment done,50,VIN010,10,10
11,2025-06-15,47000,Muffler loud,,,,VIN011,1,11
12,2025-07-01,95000,Radiator leaking,2025-07-04,Replaced radiator,320,VIN012,1,12
13,2025-07-10,8000,Routine maintenance,2025-07-10,Oil change and filter,35,VIN013,1,1
14,2025-07-20,61000,Power steering issues,2025-07-25,Replaced power steering pump,280,VIN014,1,2
15,2025-08-01,73000,Spark plugs worn,,,,VIN015,1,3
16,2025-08-15,48000,Headlight out,2025-08-15,Replaced headlight bulb,25,VIN016,1,4
17,2025-09-01,29000,Suspension noise,2025-09-05,Replaced struts,450,VIN017,1,5
18,2025-09-10,51000,Exhaust smell,,,,VIN018,1,6
19,2025-09-20,34000,Door handle broken,2025-09-22,Replaced door handle,90,VIN019,1,7
20,2025-10-01,41000,Window stuck,2025-10-03,Replaced window motor,180,VIN020,1,8
21,2025-10-10,19000,Tire rotation,2025-10-10,Rotated tires,30,VIN021,1,9
22,2025-10-20,56000,Clutch slipping,,,,VIN022,1,10
23,2025-11-01,83000,Water pump failing,2025-11-05,Replaced water pump,275,VIN023,1,11
24,2025-11-10,37000,Starter issues,2025-11-12,Replaced starter motor,195,VIN024,1,12
25,2025-11-20,12000,Paint scratch,,,,VIN025,1,13
26,2025-12-01,44000,Fuel pump weak,2025-12-04,Replaced fuel pump,310,VIN026,1,14
27,2025-12-10,91000,Catalytic converter,2025-12-15,Replaced catalytic converter,800,VIN027,1,15
28,2025-12-20,7000,New car inspection,2025-12-20,All clear,40,VIN028,1,1
29,2026-01-05,62000,Thermostat stuck,,,,VIN029,1,2
30,2026-01-15,5000,Break-in service,2026-01-15,Oil change,30,VIN030,1,3
31,2026-01-20,52000,ABS light on,2026-01-23,Replaced ABS sensor,160,VIN031,1,4
32,2025-03-10,28000,Tire pressure low,2025-03-10,Inflated tires,15,VIN032,2,5
33,2025-04-20,105000,Head gasket blown,2025-04-28,Replaced head gasket,1100,VIN033,3,6
34,2025-06-05,11000,Squeaky belt,2025-06-05,Replaced serpentine belt,45,VIN034,4,7
35,2025-08-20,39000,Alternator failing,,,,VIN035,5,8
36,2025-09-15,78000,Rust on frame,2025-09-20,Rust treatment applied,99,VIN036,6,9
37,2025-10-05,25000,Rattle in dash,,,,VIN037,7,10
38,2025-11-15,68000,CV joint clicking,2025-11-19,Replaced CV axle,230,VIN038,8,11
39,2025-12-05,110000,Engine overheating,2025-12-10,Replaced thermostat and hoses,185,VIN039,9,12
40,2026-02-01,3000,First service,2026-02-01,Oil change and inspection,45,VIN040,10,13
41,2026-02-15,43000,Brake noise,,,VIN007,7,7
42,2026-02-16,43500,Steering vibration,,,VIN007,7,8
43,2026-02-17,48000,Check engine light,,,VIN011,1,11
44,2026-02-18,52000,Transmission issues,,,VIN018,1,6
45,2026-02-19,52500,Oil leak,,,VIN018,1,7
